date;heure;PA01H;LOGNES;MELUN;VILLEM;CERGY;PA13;RUR-E;RUR-NO;RUR-SE;ULIS;CHAMP;PA18;MANT;RUR_S;RUR-SO;VITRY;MONTG;NEUIL;RUR-NE;RAMBO;EIFF3;RUR_N;TREMB
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
2020-01-27;11;31;52;n/d;39;56;39;61;65;59;56;40;43;50;62;n/d;46;50;33;49;52;61;54;40
2020-01-27;12;32;52;37;37;57;36;60;59;60;54;39;41;48;61;n/d;41;48;33;49;49;57;53;42
2020-01-27;13;31;48;40;37;56;36;58;59;60;55;38;40;49;61;n/d;42;44;34;50;51;56;52;38
2020-01-27;14;28;47;37;32;51;32;59;56;57;54;35;38;50;60;n/d;40;42;30;49;52;58;48;36
2020-01-27;15;30;43;36;34;53;28;57;57;58;53;36;38;50;63;n/d;38;45;28;53;53;62;47;42
2020-01-27;16;30;38;35;32;51;24;59;56;61;55;36;33;42;64;n/d;38;47;24;54;55;58;46;40
2020-01-27;17;36;44;43;35;55;29;61;58;63;58;41;40;45;64;n/d;45;50;31;53;58;61;45;42
2020-01-27;18;38;51;43;40;62;37;62;69;61;59;46;45;58;63;n/d;50;52;36;57;57;67;54;46
2020-01-27;19;43;54;47;43;71;41;61;75;61;61;45;45;66;64;n/d;51;51;43;59;62;67;62;49
2020-01-27;20;49;58;50;47;70;47;64;73;64;64;48;53;63;69;n/d;56;53;50;59;72;74;61;51
2020-01-27;21;55;63;55;52;71;58;68;72;70;71;54;60;66;75;n/d;59;60;56;60;72;78;68;58
2020-01-27;22;62;70;64;60;74;65;73;73;74;74;63;64;70;76;n/d;69;67;60;67;75;80;73;65
2020-01-27;23;63;75;66;64;74;67;79;71;73;72;66;66;69;75;n/d;69;69;62;72;74;80;74;69
2020-01-27;24;63;74;65;64;75;64;77;73;73;70;65;66;70;76;n/d;66;68;64;72;74;79;72;67
2020-01-28;1;63;74;66;63;72;65;74;73;75;70;65;66;71;80;n/d;69;69;63;72;77;78;72;67
2020-01-28;2;66;76;68;66;74;70;76;75;76;76;70;69;75;79;n/d;72;74;66;73;81;80;74;69
2020-01-28;3;72;80;70;71;79;75;76;81;76;76;72;75;82;81;n/d;74;75;72;77;81;85;77;76
2020-01-28;4;74;80;71;73;80;76;80;83;79;79;74;77;76;85;n/d;72;77;73;77;87;86;80;77
2020-01-28;5;77;80;70;76;79;75;82;83;81;78;73;77;79;83;n/d;74;79;72;80;83;87;80;79
2020-01-28;6;68;73;65;71;77;68;82;82;80;75;64;70;76;83;n/d;73;73;65;76;82;83;77;74
2020-01-28;7;61;71;60;67;76;60;80;81;79;73;63;66;78;81;n/d;71;70;62;72;80;81;76;69
2020-01-28;8;56;67;54;62;75;60;80;83;78;72;60;56;69;81;n/d;67;67;51;72;80;79;72;62
2020-01-28;9;56;66;64;62;75;63;78;82;79;76;62;63;78;81;n/d;70;71;58;74;83;82;74;64
2020-01-28;10;64;76;65;71;79;68;81;84;80;75;70;70;78;81;n/d;76;75;65;75;80;84;79;71
2020-01-28;11;65;77;64;71;78;68;81;82;81;73;71;71;76;82;n/d;75;73;65;77;80;83;78;72
2020-01-28;12;68;77;67;74;79;70;80;84;82;75;73;71;79;81;n/d;78;76;66;79;82;85;80;75
2020-01-28;13;69;77;67;69;77;71;83;82;82;74;72;65;75;82;n/d;81;77;67;83;81;86;80;67
2020-01-28;14;67;77;65;70;78;68;82;83;82;77;71;71;73;84;n/d;80;75;63;71;83;85;73;68
2020-01-28;15;67;77;65;72;80;69;83;86;80;76;70;69;75;82;n/d;77;76;62;70;83;86;75;70
2020-01-28;16;65;76;51;70;59;65;81;86;79;73;66;67;68;81;n/d;69;68;62;75;81;84;78;69
2020-01-28;17;58;64;52;62;67;59;78;78;77;70;52;59;65;81;n/d;61;62;54;70;77;80;77;62
2020-01-28;18;54;69;53;62;72;53;78;79;77;68;51;57;63;77;n/d;58;58;48;68;68;81;74;61
2020-01-28;19;45;53;52;47;69;49;76;79;73;67;46;43;63;75;n/d;59;60;38;67;77;73;73;45
2020-01-28;20;53;58;64;55;69;56;73;77;78;75;56;51;70;79;n/d;69;69;47;61;81;78;70;50
2020-01-28;21;69;72;64;69;79;66;75;83;79;76;68;69;71;77;n/d;80;75;65;60;79;87;73;61
2020-01-28;22;64;73;63;71;76;63;78;78;75;75;67;65;65;82;n/d;76;74;58;70;80;83;77;70
2020-01-28;23;68;72;61;70;74;67;76;78;81;74;66;66;70;83;n/d;76;73;61;68;82;85;76;64
2020-01-28;24;72;75;67;72;74;71;76;73;80;75;67;65;69;79;n/d;78;75;66;80;81;85;81;69
2020-01-29;1;71;70;66;63;75;67;75;70;73;75;67;68;69;75;n/d;79;75;64;75;80;84;74;61
2020-01-29;2;73;74;64;71;75;72;73;74;73;73;65;71;70;75;n/d;76;72;64;65;79;84;71;63
2020-01-29;3;73;70;63;72;72;69;76;77;70;70;64;69;65;70;n/d;73;72;63;69;73;85;71;66
2020-01-29;4;69;67;56;71;71;68;71;75;68;66;57;68;66;69;n/d;68;68;61;70;72;82;72;66
2020-01-29;5;64;58;47;64;70;60;68;75;68;65;48;63;57;70;n/d;58;61;56;64;73;80;66;64
2020-01-29;6;55;48;44;56;65;48;67;75;68;63;29;57;50;71;n/d;49;54;47;61;73;79;62;55
2020-01-29;7;47;34;34;45;61;38;64;73;70;61;26;49;49;72;n/d;43;55;41;54;69;77;61;48
2020-01-29;8;35;38;38;45;52;36;63;71;66;56;26;43;47;68;n/d;42;50;38;51;64;75;59;39
2020-01-29;9;36;38;33;42;51;38;60;70;63;57;24;43;50;64;n/d;40;46;36;49;63;71;61;38
2020-01-29;10;51;47;39;50;61;46;62;73;68;60;36;53;60;68;n/d;52;55;46;52;66;74;n/d;52
2020-01-29;11;58;57;53;59;67;54;64;76;73;67;54;58;67;71;n/d;n/d;62;51;64;69;78;n/d;61
2020-01-29;12;63;67;54;61;70;58;69;79;76;69;59;60;62;75;n/d;n/d;67;52;68;73;81;74;62
2020-01-29;13;67;73;56;67;66;65;75;79;77;70;66;66;73;76;n/d;n/d;71;58;76;75;82;77;68
2020-01-29;14;66;72;60;69;68;65;76;80;78;70;64;68;72;79;n/d;n/d;73;57;69;74;83;76;64
2020-01-29;15;64;68;57;65;74;61;75;80;79;67;61;67;74;79;n/d;n/d;66;56;73;77;81;78;59
2020-01-29;16;58;65;54;61;74;62;74;81;79;66;59;58;69;78;n/d;n/d;59;47;66;73;81;76;64
2020-01-29;17;49;47;37;49;61;48;68;72;72;58;42;46;36;70;n/d;n/d;47;37;57;69;77;72;48
2020-01-29;18;35;19;8;36;53;29;64;61;56;45;6;32;39;62;n/d;27;32;25;42;55;72;60;21
2020-01-29;19;35;9;11;20;61;15;59;53;52;52;7;34;37;58;n/d;7;18;20;33;34;80;49;9
2020-01-29;20;34;6;12;10;49;17;58;54;47;49;2;36;27;53;n/d;6;29;26;15;37;83;56;5
2020-01-29;21;35;23;21;4;57;17;59;55;32;57;7;35;25;53;n/d;7;30;33;16;38;86;59;6
2020-01-29;22;28;19;24;1;61;7;54;54;32;57;12;40;22;49;n/d;11;17;30;22;37;84;60;8
2020-01-29;23;7;19;35;13;57;14;48;56;29;57;17;16;45;46;n/d;20;24;18;33;48;79;41;16
2020-01-29;24;17;25;34;21;48;18;45;50;29;46;31;17;53;50;n/d;16;28;23;36;55;85;40;33
2020-01-30;1;23;41;31;27;50;23;47;56;27;48;30;24;54;55;n/d;15;33;32;44;46;86;42;43
2020-01-30;2;23;44;36;22;53;24;53;53;32;44;25;25;56;56;n/d;19;39;30;45;40;83;33;40
2020-01-30;3;24;47;39;30;51;26;54;50;26;43;38;29;39;54;n/d;35;37;29;49;42;85;29;38
2020-01-30;4;23;46;35;37;42;29;54;51;26;48;40;28;37;50;n/d;32;33;21;51;44;78;26;40
2020-01-30;5;18;40;27;28;36;24;50;51;38;44;34;22;35;48;n/d;28;38;20;51;45;81;23;31
2020-01-30;6;9;33;29;15;34;10;48;49;36;43;24;13;30;48;n/d;16;41;11;47;47;80;19;26
2020-01-30;7;2;33;27;12;31;3;45;46;33;45;22;3;29;49;n/d;18;36;7;43;45;68;4;12
2020-01-30;8;2;36;21;11;27;7;51;45;37;40;21;5;15;48;n/d;8;35;5;39;43;53;3;17
2020-01-30;9;5;38;32;22;19;6;50;48;50;43;24;5;25;56;n/d;15;36;5;42;42;49;9;24
2020-01-30;10;7;36;33;24;24;9;53;48;51;45;32;7;37;55;n/d;28;40;8;47;40;46;11;26
2020-01-30;11;10;40;36;29;33;12;48;47;49;44;34;14;34;54;n/d;28;38;9;49;36;47;13;35
2020-01-30;12;9;38;29;27;30;14;n/d;44;49;42;32;12;30;51;n/d;24;32;7;48;40;45;17;36
2020-01-30;13;9;25;29;18;34;10;48;45;48;43;21;11;36;52;n/d;22;32;7;42;41;46;18;30
2020-01-30;14;15;29;24;13;44;14;46;47;49;45;17;21;45;55;n/d;21;30;19;35;48;52;22;19
2020-01-30;15;17;36;27;14;52;20;46;51;51;50;19;25;52;59;n/d;32;37;26;31;53;56;30;13
2020-01-30;16;35;43;27;24;58;37;49;61;55;54;28;38;55;63;n/d;37;43;35;31;57;62;53;20
2020-01-30;17;34;46;36;38;59;41;56;58;60;55;32;39;53;64;n/d;40;46;36;38;60;64;59;35
2020-01-30;18;35;51;36;42;57;42;59;61;60;57;40;37;53;63;n/d;44;46;38;42;58;63;60;38
2020-01-30;19;40;51;43;47;55;47;59;62;63;56;46;40;53;66;n/d;50;48;41;48;63;62;59;43
2020-01-30;20;40;52;45;48;56;47;62;62;63;56;44;42;54;65;n/d;48;52;44;50;58;64;60;46
2020-01-30;21;41;56;47;48;57;47;62;60;62;58;49;45;54;61;n/d;51;56;47;53;58;63;59;48
2020-01-30;22;44;54;47;43;57;45;60;60;61;56;46;46;56;63;n/d;53;55;45;52;60;64;59;46
2020-01-30;23;46;53;45;42;57;45;58;61;62;55;43;44;58;62;n/d;50;54;45;51;60;65;60;47
2020-01-30;24;49;53;43;44;57;48;56;60;61;54;46;47;57;62;n/d;54;52;46;50;57;65;59;50
2020-01-31;1;46;50;44;46;56;45;54;60;59;51;43;49;57;61;n/d;46;49;47;52;56;63;59;51
2020-01-31;2;47;50;43;37;54;41;55;59;59;52;38;46;55;59;n/d;41;52;46;52;59;62;58;48
2020-01-31;3;47;47;43;42;54;47;55;57;59;53;39;49;53;61;n/d;52;50;45;48;61;62;56;49
2020-01-31;4;49;52;41;43;53;46;53;56;58;52;46;50;52;60;n/d;59;47;44;49;56;60;54;50
2020-01-31;5;44;50;34;37;51;39;52;55;56;51;40;45;39;57;n/d;51;47;38;47;56;61;51;42
